name,size,river,background,mask_roi_13,mask_roi_12,river_roi_13,river_roi_12
image_254.png,"(608, 808)",226049,265215,"(608, 270)","(608, 404)",44519,113760
image_99.png,"(608, 808)",219787,271477,"(608, 270)","(608, 404)",41292,109317
image_241.png,"(608, 808)",229292,261972,"(608, 270)","(608, 404)",45062,115925
image_16.png,"(608, 808)",199759,291505,"(608, 270)","(608, 404)",33610,89962
image_237.png,"(608, 808)",132228,359036,"(608, 270)","(608, 404)",21181,69101
image_95.png,"(608, 808)",214001,277263,"(608, 270)","(608, 404)",42783,109998
image_264.png,"(608, 808)",224733,266531,"(608, 270)","(608, 404)",45625,113421
image_291.png,"(608, 808)",216924,274340,"(608, 270)","(608, 404)",44099,112897
image_305.png,"(608, 808)",224313,266951,"(608, 270)","(608, 404)",47281,117074
image_3.png,"(608, 808)",191599,299665,"(608, 270)","(608, 404)",29126,81460
image_239.png,"(608, 808)",156376,334888,"(608, 270)","(608, 404)",27282,80253
image_297.png,"(608, 808)",214055,277209,"(608, 270)","(608, 404)",42025,109620
image_243.png,"(608, 808)",223933,267331,"(608, 270)","(608, 404)",43447,111503
image_84.png,"(608, 808)",234882,256382,"(608, 270)","(608, 404)",45637,114516
image_280.png,"(608, 808)",221346,269918,"(608, 270)","(608, 404)",42399,109744
image_251.png,"(608, 808)",208967,282297,"(608, 270)","(608, 404)",40026,109560
image_290.png,"(608, 808)",220881,270383,"(608, 270)","(608, 404)",41722,111144
image_304.png,"(608, 808)",230500,260764,"(608, 270)","(608, 404)",46367,117353
image_270.png,"(608, 808)",233298,257966,"(608, 270)","(608, 404)",52980,123884
image_61.png,"(608, 808)",233367,257897,"(608, 270)","(608, 404)",62077,132837
image_42.png,"(608, 808)",227778,263486,"(608, 270)","(608, 404)",70219,142515
image_43.png,"(608, 808)",259287,231977,"(608, 270)","(608, 404)",72712,149890
image_31.png,"(608, 808)",164504,326760,"(608, 270)","(608, 404)",37884,100326
image_69.png,"(608, 808)",220104,271160,"(608, 270)","(608, 404)",45794,118557
